License Issue Date,License Number,Animal's Name,Species,Primary Breed,Secondary Breed,ZIP Code
October 07 2013,211185,Coco,Dog,Havanese,,98102
August 25 2013,574136,Cali,Cat,Domestic Shorthair,,98119
August 25 2013,574137,Clio,Cat,Domestic Shorthair,,98119
November 16 2013,902326,Rainbow,Dog,Shih Tzu,,98115
August 22 2013,355204,Meg,Dog,Retriever; Labrador,,98126
July 31 2013,433649,Tiger Pham,Cat,Domestic Shorthair,,98108
July 19 2013,433567,Sheba,Cat,Domestic Shorthair,,98122
August 23 2013,23628,Jessie,Dog,Terrier; Rat,,98136
August 25 2013,957205,Bridget,Dog,Terrier; Soft Coated Wheaten,,98119
September 04 2013,18979,Paisley,Cat,Domestic Longhair,,98199
November 13 2013,951755,Layla,Dog,Shepherd,Siberian Husky,98125
September 13 2013,572625,Enigma,Cat,Domestic Shorthair,,98125
July 29 2013,278877,Murphy,Dog,Retriever; Labrador,Mix,98121
August 26 2013,441188,Lucca,Dog,Pointer; German Shorthaired,,98117
December 30 2013,80728,Doodlebug,Dog,Shih Tzu,,98117
September 13 2013,572630,Roger,Cat,Domestic Shorthair,,98103
August 03 2013,581087,Bella Pham,Dog,Spaniel; American Cocker,,98108
August 26 2013,120408,Ceri,Dog,Spaniel; Cavalier King Charles,,98177
August 19 2013,356684,Jasmine,Dog,Dachshund; Standard Smooth Haired,Beagle,98103
August 07 2013,903391,Bode,Dog,Retriever; Golden,,98115
August 27 2013,958444,MoMo,Dog,Retriever; Labrador,Mix,98144
September 18 2013,958545,Ranger,Dog,Belgian Malinois,,98125
September 23 2013,25570,Brinkley,Dog,Papillon,,98115
December 19 2013,951776,Ebony,Dog,Retriever; Labrador,,98105
August 07 2013,22101,Feral,Cat,Domestic Medium Hair,,98121
August 30 2013,81205,Boo Boo,Dog,Retriever; Golden,,98118
August 08 2013,137767,Sasha,Dog,Terrier; Fox; Wire,,98117
October 09 2013,585234,Bobby,Dog,Japanese Chin,,98125
December 04 2013,137899,Hugo,Dog,Bulldog; French,,98107
October 17 2013,212735,Wylie,Dog,Poodle; Miniature,,98106
September 03 2013,276668,Thomas,Cat,Maine Coon,,98102
August 13 2013,280976,Duke,Dog,Terrier; Boston,,98115
August 09 2013,358774,Goldie,Dog,Dachshund; Standard Smooth Haired,Welsh Corgi; Cardigan,98119
October 29 2013,358498,Noli,Dog,Pointer; German Shorthaired,,98115
November 26 2013,582152,Pansy,Dog,Pug,,98115
September 18 2013,582054,Kona,Dog,Basset Hound,,98199
October 17 2013,109014,Pete,Dog,Terrier,Mix,98136
September 12 2013,576643,Sofia,Cat,Domestic Shorthair,,98101
August 19 2013,958946,Poca,Dog,Basenji,Whippet,98115
November 14 2013,832989,Hannah,Cat,Domestic Longhair,,98133
September 26 2013,825484,Miss Kitty,Cat,Domestic Shorthair,,98133
November 14 2013,902842,Yoshi,Dog,Poodle; Toy,Terrier,98118
July 11 2013,280439,Patches,Dog,Pomeranian,Poodle; Miniature,98133
September 24 2013,214493,Betty Boop,Dog,Terrier; American Pit Bull,,98107
November 07 2013,353190,Pike,Cat,Domestic Shorthair,,98122
October 08 2013,582707,Frida,Dog,Chihuahua; Short Coat,Dachshund; Standard Smooth Haired,98117
December 20 2013,139395,Zoe,Dog,Retriever; Labrador,,98116
December 06 2013,830150,Skip,Dog,Terrier; Yorkshire,,98103
November 14 2013,905039,,Dog,Spaniel,Mix,98117
October 07 2013,959966,Rider,Dog,Havanese,,98102
September 09 2013,960357,Parker,Dog,Beagle,,98115
December 17 2013,903458,Percy,Dog,Retriever; Labrador,,98109
December 09 2013,897376,Caleb,Cat,Domestic Medium Hair,,98118
December 31 2013,960060,Rollo,Dog,Xoloitzcuintli,,98102
December 19 2013,899074,Liliana,Dog,Mastiff,,98117
August 06 2013,82624,Jack,Dog,Retriever; Labrador,Poodle; Standard,98126
December 09 2013,214681,Sachi,Dog,Retriever; Labrador,,98107
December 31 2013,214509,Jambo,Dog,Retriever; Golden,,98105
December 03 2013,214753,Bonny,Dog,Terrier; Cairn,Poodle; Miniature,98102
August 04 2013,578598,Tinkerbell,Cat,Domestic Longhair,Mix,98106
August 15 2013,584682,Freya,Dog,Retriever; Labrador,,98121
August 16 2013,579076,Luisinha,Cat,Domestic Shorthair,,98115
